"","forecast_EQdiffar1"
"291",-135.405408846146
"292",67.3514511565455
"293",14.1528275904482
"294",23.0738856713705
"295",-62.4439822624417
"296",-46.5332731360412
"297",129.529174989103
"298",12.2097787071292
"299",-110.570876988025
"300",172.380989698092
"301",-96.5244622864823
"302",-219.837276290569
"303",110.744204951404
"304",192.450678152468
"305",-19.7143513210372
"306",-115.505802244729
"307",-73.1225864033945
"308",-93.7920811118771
"309",274.000311714673
"310",-67.9816416237407
"311",125.312027173724
"312",-155.645438068177
"313",-119.287541291851
"314",-44.1977824108831
"315",-75.8783774440319
"316",376.981924989987
"317",-42.5890998142408
"318",-20.9683086938512
"319",63.757551134835
"320",-127.803008999974
"321",111.20960017764
"322",-97.3648289689906
"323",190.850984067962
"324",-289.257422838739
"325",118.193701427781
"326",99.9658396496281
"327",-3.750342032962
"328",-89.8958149172099
"329",-114.540515578462
"330",91.6481153356147
"331",104.894827672478
"332",-114.614916224753
"333",120.897486663599
"334",-251.828340616219
"335",117.768262720773
"336",-45.9868758462206
"337",-68.8049579427108
"338",-35.5005432568751
"339",139.770567608207
"340",114.643025700731
"341",-34.8592430887861
"342",-51.9655755791872
"343",-143.234332487938
"344",95.6409853380868
"345",-112.121440678838
"346",251.252295728359
"347",-23.7912846752471
"348",-213.108881913884
"349",168.315797375189
"350",-134.208908249529
"351",28.9453401429766
"352",182.586956534382
"353",-7.35584835747596
"354",-107.600246900866
"355",164.556211220083
"356",-137.114485746665
"357",-35.0375527520818
"358",-94.7686303126503
"359",108.075061361363
"360",57.440694766089
"361",-185.251621002576
"362",-199.463519423422
"363",299.278375833642
"364",-32.8582825569247
"365",-28.7933711122046
"366",144.85511808697
"367",-108.955934438198
"368",92.662544979962
"369",-6.07385801318834
"370",-63.6959707303771
"371",24.4223085873241
"372",-215.597201399887
"373",343.485611086199
"374",-169.54547615721
"375",48.790904539069
"376",84.3786278291123
"377",-128.689547146591
"378",-62.2544032798673
"379",-188.418760953637
"380",370.064959910584
"381",59.7569397077865
"382",-143.134767305381
"383",116.628257692714
"384",-1.68476068429894
"385",-44.4642227443297
"386",-46.2658826199401
"387",175.597398011043
"388",-471.651773064286
"389",141.945246635896
"390",72.9412841197147
"391",-186.621666904957
"392",327.861371816242
"393",74.4337607864678
"394",-169.590501011029
"395",142.57853005477
"396",-110.970335235688
"397",-15.4359941477035
"398",128.327183932904
"399",-94.5557251365764
"400",-29.0126728972031
"401",55.4082141627665
"402",-45.9500708084947
"403",-15.4878529265862
"404",75.9002668563991
"405",-88.0138321080759
"406",-36.76270536384
"407",162.108962344972
"408",-9.61696617105495
"409",-23.4296655659689
"410",61.830641214436
"411",-227.921441294454
"412",22.9391228195381
"413",142.991295451343
"414",-114.376811415492
"415",79.1968595392319
"416",-50.2849249011164
"417",-28.7543819181684
"418",45.3347324576752
"419",-100.591322250351
"420",221.584182018658
"421",-32.2395554678677
"422",35.7323749901082
"423",-31.0099759479226
"424",14.156169770146
"425",-4.31640047071315
"426",-77.5857326002781
"427",71.6710556123915
"428",-13.1603823787374
